Id,Title,Year,Rating,Views,Likes,Minutes,Tagline,Language,Countries,Directors,Cast
49280,Enchanted,2007,3.5,753114,141186,107,This fairytale princess is about to meet a real Prince Charming.,English,['USA'],['Kevin Lima'],"['Amy Adams', 'Patrick Dempsey', 'James Marsden', 'Timothy Spall', 'Idina Menzel']"
241052,Green Room,2015,3.7,363541,103211,95,One way in. No way out.,English,['USA'],['Jeremy Saulnier'],"['Anton Yelchin', 'Imogen Poots', 'Patrick Stewart', 'Alia Shawkat', 'Joe Cole']"
26713,Whisper of the Heart,1995,4.2,340602,131432,111,I found someone I like.,Japanese,['Japan'],['Yoshifumi Kondo'],"['Yoko Honna', 'Issey Takahashi', 'Takashi Tachibana', 'Shigeru Muroi', 'Minami Takayama']"
51673,8½,1963,4.3,251610,84217,139,A picture that goes beyond what men think about - because no man ever thought about it in quite this way!,Italian,"['Italy', 'France']",['Federico Fellini'],"['Marcello Mastroianni', 'Anouk Aimée', 'Sandra Milo', 'Claudia Cardinale', 'Rossella Falk']"
51516,The Matrix Revolutions,2003,3.1,643022,91957,129,Everything that has a beginning has an end.,English,['USA'],"['Lilly Wachowski', 'Lana Wachowski']","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Jada Pinkett Smith']"
44768,Step Brothers,2008,3.4,619123,134423,98,They grow up so fast.,English,['USA'],['Adam McKay'],"['Will Ferrell', 'John C. Reilly', 'Mary Steenburgen', 'Richard Jenkins', 'Adam Scott']"
356723,The Conjuring: The Devil Made Me Do It,2021,2.7,488548,73199,111,The demonic case that shocked America.,English,['USA'],['Michael Chaves'],"['Patrick Wilson', 'Vera Farmiga', ""Ruairí O'Connor"", 'Sarah Catherine Hook', 'Julian Hilliard']"
462573,Waves,2019,3.9,235022,90466,135,Love is patient,English,"['Canada', 'USA']",['Trey Edward Shults'],"['Kelvin Harrison Jr.', 'Taylor Russell', 'Renée Elise Goldsberry', 'Sterling K. Brown', 'Lucas Hedges']"
26196,Grown Ups,2010,3.0,663986,113325,102,Boys will be boys. . . some longer than others.,English,['USA'],['Dennis Dugan'],"['Adam Sandler', 'Kevin James', 'Chris Rock', 'David Spade', 'Rob Schneider']"
392654,Mandy,2018,3.6,290924,93651,122,,English,"['Belgium', 'UK', 'USA']",['Panos Cosmatos'],"['Nicolas Cage', 'Andrea Riseborough', 'Linus Roache', 'Ned Dennehy', 'Olwen Fouéré']"
51111,300,2006,3.3,680356,109401,116,"Spartans, prepare for glory!",English,"['Bulgaria', 'Canada', 'USA']",['Zack Snyder'],"['Gerard Butler', 'Lena Headey', 'Dominic West', 'David Wenham', 'Vincent Regan']"
124379,American Hustle,2013,3.3,541394,80051,138,Everyone Hustles To Survive,English,['USA'],['David O. Russell'],"['Christian Bale', 'Bradley Cooper', 'Amy Adams', 'Jeremy Renner', 'Jennifer Lawrence']"
43015,Harakiri,1962,4.7,140185,63282,135,The world has never understood why the Japanese prefer death to dishonor! Winner of Prix Special du Jury at Cannes 1963 provides the answer!!,Japanese,['Japan'],['Masaki Kobayashi'],"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsurō Tamba', 'Masao Mishima']"
43517,Sweeney Todd: The Demon Barber of Fleet Street,2007,3.5,576402,117487,116,Never Forget. Never Forgive.,English,"['UK', 'USA']",['Tim Burton'],"['Johnny Depp', 'Helena Bonham Carter', 'Alan Rickman', 'Timothy Spall', 'Sacha Baron Cohen']"
